Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,225.0399932861328,225.8300018310547,223.8800048828125,225.24000549316406,208.2135009765625,91366500
2017-01-04,225.6199951171875,226.75,225.61000061035156,226.5800018310547,209.45223999023438,78744400
2017-01-05,226.27000427246094,226.5800018310547,225.47999572753906,226.39999389648438,209.2858123779297,78379000
2017-01-06,226.52999877929688,227.75,225.89999389648438,227.2100067138672,210.03456115722656,71559900
2017-01-09,226.91000366210938,227.07000732421875,226.4199981689453,226.4600067138672,209.34127807617188,46939700
2017-01-10,226.47999572753906,227.4499969482422,226.00999450683594,226.4600067138672,209.34127807617188,63771900
2017-01-11,226.36000061035156,227.10000610351562,225.58999633789062,227.10000610351562,209.9329071044922,74650000
2017-01-12,226.5,226.75,224.9600067138672,226.52999877929688,209.40594482421875,72113200
2017-01-13,226.72999572753906,227.39999389648438,226.69000244140625,227.0500030517578,209.88670349121094,62717900
2017-01-17,226.30999755859375,226.77999877929688,225.8000030517578,226.25,209.1471405029297,61240800
2017-01-18,226.5399932861328,226.8000030517578,225.89999389648438,226.75,209.6093292236328,54793300
2017-01-19,226.83999633789062,227.0,225.41000366210938,225.91000366210938,208.83285522460938,66608800
2017-01-20,226.6999969482422,227.30999755859375,225.97000122070312,226.74000549316406,209.60011291503906,129168600
2017-01-23,226.74000549316406,226.80999755859375,225.27000427246094,226.14999389648438,209.05470275878906,75061600
2017-01-24,226.39999389648438,228.0800018310547,226.27000427246094,227.60000610351562,210.3950958251953,95555300
2017-01-25,228.6999969482422,229.57000732421875,228.50999450683594,229.57000732421875,212.21615600585938,84437700
2017-01-26,229.39999389648438,229.7100067138672,229.00999450683594,229.3300018310547,211.9943389892578,59970700
2017-01-27,229.4199981689453,229.58999633789062,228.75999450683594,228.97000122070312,211.66151428222656,59711100
2017-01-30,228.1699981689453,228.1999969482422,226.41000366210938,227.5500030517578,210.34886169433594,79737300
2017-01-31,226.97999572753906,227.60000610351562,226.32000732421875,227.52999877929688,210.3303680419922,75880800
2017-02-01,227.52999877929688,228.58999633789062,226.94000244140625,227.6199951171875,210.41358947753906,79117700
2017-02-02,227.6199951171875,228.10000610351562,226.82000732421875,227.77000427246094,210.55224609375,69657600
2017-02-03,228.82000732421875,229.5500030517578,228.4600067138672,229.33999633789062,212.00355529785156,80563200
2017-02-06,228.8699951171875,229.3300018310547,228.5399932861328,228.92999267578125,211.62452697753906,57790100
2017-02-07,229.3800048828125,229.66000366210938,228.72000122070312,228.94000244140625,211.6337890625,57931200
2017-02-08,228.94000244140625,229.38999938964844,228.30999755859375,229.24000549316406,211.91111755371094,51566200
2017-02-09,229.24000549316406,230.9499969482422,229.24000549316406,230.60000610351562,213.16831970214844,65955200
2017-02-10,231.0,231.77000427246094,230.6199951171875,231.50999450683594,214.00950622558594,66015900
2017-02-13,232.0800018310547,233.07000732421875,232.0500030517578,232.77000427246094,215.17430114746094,55182100
